2022-01-26 17:15:45,235, DEBUG, 123, root
2022-01-26 17:15:45,235, INFO, Сообщение отправлено, root
2022-01-26 17:15:45,235, WARNING, Большая нагрузка!, root
2022-01-26 17:15:45,235, ERROR, Бот не смог отправить сообщение, root
2022-01-26 17:15:45,235, CRITICAL, Всё упало! Зовите админа!1!111, root
2022-01-26 17:17:07,888, DEBUG, 123, root
2022-01-26 17:17:07,888, INFO, Сообщение отправлено, root
2022-01-26 17:17:07,888, WARNING, Большая нагрузка!, root
2022-01-26 17:17:07,888, ERROR, Бот не смог отправить сообщение, root
2022-01-26 17:17:07,888, CRITICAL, Всё упало! Зовите админа!1!111, root
2022-01-26 17:18:35,641, DEBUG, 123, root
2022-01-26 17:18:35,641, INFO, Сообщение отправлено, root
2022-01-26 17:18:35,641, WARNING, Большая нагрузка!, root
2022-01-26 17:18:35,644, ERROR, Бот не смог отправить сообщение, root
2022-01-26 17:18:35,644, CRITICAL, Всё упало! Зовите админа!1!111, root
2022-01-26 17:20:09,107, INFO, Сообщение отправлено, __main__
2022-01-26 17:20:09,107, WARNING, Большая нагрузка!, __main__
2022-01-26 17:20:09,107, ERROR, Бот не смог отправить сообщение, __main__
2022-01-26 17:20:09,107, CRITICAL, Всё упало! Зовите админа!1!111, __main__
2022-01-26 17:21:16,594, INFO, Сообщение отправлено, __main__
2022-01-26 17:21:16,594, WARNING, Большая нагрузка!, __main__
2022-01-26 17:21:16,594, ERROR, Бот не смог отправить сообщение, __main__
2022-01-26 17:21:16,594, CRITICAL, Всё упало! Зовите админа!1!111, __main__
